pangea_id	Mean_Date [YY/MM/DD hh:mm]*	Mean_Lat*	Mean_Long*	Mean_Depth [m]*	Mean_Temperature [deg C]*	Mean_Salinity [PSU]*	Mean_Oxygen [umol/kg]*	Mean_Nitrates[umol/L]*	NO2 [umol/L]**	PO4 [umol/L]**	NO2NO3 [umol/L]**	SI [umol/L]**	AMODIS:PAR8d,Einsteins/m-2/d-1	Okubo-Weiss	Lyapunov_exp.	grad_SST_adv	retention	Mean Depth MLD Sigma [m]*	Mean Depth Max Fluo [m]*	Mean Depth Max N2 [m]*	Mean Depth Max O2 [m]*	Mean Depth Min O2 [m]*	Mean Depth Nitracline [m]*	miTAG.SILVA.Taxo.Richness	miTAG.SILVA.Phylo.Diversity	miTAG.SILVA.Chao	miTAG.SILVA.ace	miTAG.SILVA.Shannon	OG.Shannon	OG.Richness	OG.Evenness	FC - heterotrophs [cells/mL]	FC - autotrophs [cells/mL]	FC - bacteria [cells/mL]	FC - picoeukaryotes [cells/mL]	minimum generation time [h]	sample	INSDC sample accession number(s)	INSDC run accession number(s)	Corresponding nucleotides data published at ENA	PANGAEA sample identifier	Corresponding contextual data published at PANGAEA	Station identifier [TARA_station#]	Date/Time [yyyy-mm-ddThh:mm]	lat	lon	Sampling depth [m]	Environmental Feature	Size fraction lower threshold [micrometre]	Size fraction upper threshold [micrometre]	Marine pelagic biomes (Longhurst 2007)	region	Marine pelagic biomes  (Longhurst 2007) [MRGID registered at www.marineregions.com]	level
TARA_X000001036	09/28/2009 01:36 PM	39.07	5.86	55	16.2	37.8	NA	NA	0.02	0.02	0.08	0.6	26.7	-0.77	0.08	0.69	13.61	21	53	35	NA	NA	NA	3229	473	4463	4297	6.91	7.15	15318	0.742	781039	19832	800871	2882	11	TARA_009_DCM_0.22-1.6	ERS488147	ERR594315|ERR594329	http://www.ebi.ac.uk/ena/data/view/ERR594315,ERR594329	TARA_X000001036	http://www.pangaea.de/search?All&q=TARA_X000001036	TARA_009	2009-09-28 16:59:00	39.0609	5.9422	55	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	0.22	1.6	Westerlies Biome	(MS) Mediterranean Sea [MRGID:1905]	(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]	DCM
TARA_X000000950	09/28/2009 01:36 PM	39.07	5.86	5.8	23.9	38	NA	NA	0.01	0.02	0.03	0.75	26.7	-0.77	0.08	0.69	13.61	21	53	35	NA	NA	NA	2741	414	3983	3865	6.62	7.22	15315	0.75	901463	39330	940793	1231	17	TARA_009_SRF_0.22-1.6	ERS488119	ERR594288|ERR594316|ERR594317	http://www.ebi.ac.uk/ena/data/view/ERR594288,ERR594316,ERR594317	TARA_X000000950	http://www.pangaea.de/search?All&q=TARA_X000000950	TARA_009	2009-09-28 12:18:00	39.1633	5.916	5	(SRF) surface water layer (ENVO:00002042)	0.22	1.6	Westerlies Biome	(MS) Mediterranean Sea [MRGID:1905]	(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]	SRF
TARA_B100001059	03/12/2011 08:07 PM	-33.88	-73.05	33.8	16.4	34.3	237.2	0.7	0.37	1.07	7.55	0.59	36.4	-0.07	0.04	NA	3.86	22	32	34	29	144	51	3369	470	5020	4997	6.69	7.37	16672	0.758	1664530	88789	1753319	3890	10	TARA_093_DCM_0.22-3	ERS491463	ERR598965	http://www.ebi.ac.uk/ena/data/view/ERR598965	TARA_B100001059	http://www.pangaea.de/search?All&q=TARA_B100001059	TARA_093	2011-03-12 19:36:38	-33.9116	-73.0537	35	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	0.22	3	Coastal Biome	(SPO) South Pacific Ocean [MRGID:1910]	(CHIL) Chile-Peru Current Coastal Province [MRGID:21495]	DCM
TARA_B100001063	03/12/2011 11:49 AM	-34.05	-73.08	5.3	18	34.3	244.9	-1.5	0.01	0.52	0.02	0.09	37.3	-0.07	0.04	NA	3.86	22	32	34	29	144	51	3225	447	4762	4659	6.85	7.33	17398	0.751	1495550	223179	1718729	8666	9	TARA_093_SRF_0.22-3	ERS491421	ERR599064	http://www.ebi.ac.uk/ena/data/view/ERR599064	TARA_B100001063	http://www.pangaea.de/search?All&q=TARA_B100001063	TARA_093	2011-03-12 11:34:00	-34.0614	-73.1066	5	(SRF) surface water layer (ENVO:00002042)	0.22	3	Coastal Biome	(SPO) South Pacific Ocean [MRGID:1910]	(CHIL) Chile-Peru Current Coastal Province [MRGID:21495]	SRF
TARA_B100001057	03/18/2011 02:16 PM	-32.78	-87.09	5.4	21.1	34.7	219.2	-0.4	0	0.28	0.03	0.09	44.3	0	0.05	0.73	12.97	43	62	53	50	287	269	2711	402	3833	3710	6.67	7.19	16192	0.741	NA	NA	NA	NA	17	TARA_094_SRF_0.22-3	ERS491492	ERR599050	http://www.ebi.ac.uk/ena/data/view/ERR599050	TARA_B100001057	http://www.pangaea.de/search?All&q=TARA_B100001057	TARA_094	2011-03-18 11:57:00	-32.7971	-87.0693	5	(SRF) surface water layer (ENVO:00002042)	0.22	3	Trades Biome	(SPO) South Pacific Ocean [MRGID:1910]	(SPSG) South Pacific Subtropical Gyre Province, North and South [MRGID:21486]	SRF
TARA_B100000989	03/24/2011 01:07 PM	-29.72	-101.16	5.5	23.8	35.8	204.1	-0.4	0	0.16	0.02	0.53	43.2	0.02	0.01	0.51	4.25	42	155	52	72	473	377	2184	338	3194	3118	6.15	7.1	14496	0.741	384614	0	384614	948	16	TARA_096_SRF_0.22-3	ERS491525	ERR598967	http://www.ebi.ac.uk/ena/data/view/ERR598967	TARA_B100000989	http://www.pangaea.de/search?All&q=TARA_B100000989	TARA_096	2011-03-24 13:00:00	-29.7238	-101.1604	5	(SRF) surface water layer (ENVO:00002042)	0.22	3	Trades Biome	(SPO) South Pacific Ocean [MRGID:1910]	(SPSG) South Pacific Subtropical Gyre Province, North and South [MRGID:21486]	SRF
TARA_B100001029	04/04/2011 08:23 AM	-25.85	-111.77	183.3	20.2	35.8	210.6	-0.7	0.02	0.1	0.05	0.35	44.6	-0.03	0.03	0.36	61.78	53	176	73	93	484	360	2717	430	3972	3844	6.47	7.1	14256	0.742	183522	85755	269276	420	13	TARA_098_DCM_0.22-3	ERS491740	ERR599042|ERR599079	http://www.ebi.ac.uk/ena/data/view/ERR599042,ERR599079	TARA_B100001029	http://www.pangaea.de/search?All&q=TARA_B100001029	TARA_098	2011-04-03 21:50:58	-25.826	-111.7294	188	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	0.22	3	Trades Biome	(SPO) South Pacific Ocean [MRGID:1910]	(SPSG) South Pacific Subtropical Gyre Province, North and South [MRGID:21486]	DCM
TARA_B100001013	04/04/2011 05:28 PM	-25.82	-111.74	481.1	8.1	34.4	155.6	24.6	0	2.02	27.29	12.05	45	-0.03	0.03	0.36	61.78	53	176	73	93	484	360	3103	499	4912	4842	6.54	7.1	17162	0.728	54704	0	54704	0	21	TARA_098_MES_0.22-3	ERS491767	ERR599071|ERR599085	http://www.ebi.ac.uk/ena/data/view/ERR599071,ERR599085	TARA_B100001013	http://www.pangaea.de/search?All&q=TARA_B100001013	TARA_098	2011-04-04 13:55:02	-25.8076	-111.6906	488	(MES) mesopelagic zone (ENVO:00000213)	0.22	3	Trades Biome	(SPO) South Pacific Ocean [MRGID:1910]	(SPSG) South Pacific Subtropical Gyre Province, North and South [MRGID:21486]	MES
TARA_B100001027	04/03/2011 06:10 PM	-25.83	-111.78	5.6	25.1	36.4	200.5	-1.6	0	0.2	0.05	0.38	44.9	-0.03	0.03	0.36	61.78	53	176	73	93	484	360	2195	343	3095	3050	6.28	7.09	14079	0.742	387346	0	387346	436	15	TARA_098_SRF_0.22-3	ERS491699	ERR599093|ERR599120	http://www.ebi.ac.uk/ena/data/view/ERR599093,ERR599120	TARA_B100001027	http://www.pangaea.de/search?All&q=TARA_B100001027	TARA_098	2011-04-03 13:44:00	-25.8051	-111.7202	5	(SRF) surface water layer (ENVO:00002042)	0.22	3	Trades Biome	(SPO) South Pacific Ocean [MRGID:1910]	(SPSG) South Pacific Subtropical Gyre Province, North and South [MRGID:21486]	SRF
TARA_B100000886	04/09/2011 02:09 PM	-21.15	-104.79	5.4	23.8	36.1	204	-1.7	0	0.29	0.04	0.55	44.6	0	0	0.71	13.53	63	145	72	99	388	314	2237	354	3185	3090	6.4	7.11	13751	0.746	NA	NA	NA	NA	15	TARA_099_SRF_0.22-3	ERS491804	ERR599024	http://www.ebi.ac.uk/ena/data/view/ERR599024	TARA_B100000886	http://www.pangaea.de/search?All&q=TARA_B100000886	TARA_099	2011-04-09 13:56:00	-21.146	-104.787	5	(SRF) surface water layer (ENVO:00002042)	0.22	3	Trades Biome	(SPO) South Pacific Ocean [MRGID:1910]	(SPSG) South Pacific Subtropical Gyre Province, North and South [MRGID:21486]	SRF
